CustomerID,CustomerName,Region,SubscriptionType,SubscriptionStart,SubscriptionEnd,Canceled,Revenue,Subscription trend,Subscription duration
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"2,638",Renewed,365
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,"2,456",Cancelled,365
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,"2,833",Renewed,365
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,"1,309",Cancelled,365
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,"2,153",Renewed,365
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,"1,317",Cancelled,365
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,"2,991",Renewed,365
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,"1,278",Renewed,365
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,"1,296",Cancelled,365
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,"1,168",Cancelled,365
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,"2,502",Renewed,365
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,"2,855",Renewed,365
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,"1,807",Cancelled,365
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,"1,078",Renewed,366
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,"2,285",Renewed,366
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,"1,960",Cancelled,366
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,"2,631",Cancelled,366
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,"2,485",Renewed,366
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,"1,980",Renewed,366
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,"2,443",Cancelled,366
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"1,728",Renewed,365
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,"1,360",Cancelled,365
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,"2,787",Renewed,365
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,"1,143",Cancelled,365
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,"2,996",Renewed,365
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,"2,040",Cancelled,365
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,"1,873",Renewed,365
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,"1,312",Renewed,365
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,"2,258",Cancelled,365
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,"1,921",Cancelled,365
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,"1,286",Renewed,365
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,"2,597",Renewed,365
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,"2,275",Cancelled,365
